Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Image Link
"En el template del HIJO, ¿cómo se lee un input llamado coffee?",Multiple Choice,"{{ coffee.name }}","{{ coffee().name }}","{{ this.coffee.name }}","{{ input.coffee.name }}",2,30,
"Declaraste readonly coffee = input.required<Coffee>() y el padre escribe <app-coffee-card />. ¿Qué pasa?",Multiple Choice,"Anda, con coffee en undefined","No compila: NG8008","Compila y falla al hacer clic","Angular le pone un valor por defecto",2,45,
"El hijo hace ordered.emit(...) y el padre NO escribe (ordered)=. ¿Qué pasa al tocar el botón?",Multiple Choice,"Error de compilación","Un error en la consola del navegador","No pasa nada, y no hay ningún aviso","Angular guarda el evento para después",3,45,
"En (ordered)=\"take($event)\", ¿qué es $event?",Multiple Choice,"El evento click del DOM","Exactamente el objeto que el hijo pasó a emit()","El componente hijo","Un objeto de Angular con detail adentro",2,45,
"¿Cuál es la diferencia entre pasar un texto por input() y proyectarlo con ng-content?",Multiple Choice,"Ninguna, son dos formas de lo mismo","input() trae un dato que el hijo usa para decidir; ng-content trae marcado que el hijo solo muestra","ng-content es más rápido","input() solo sirve para números",2,45,
"Un componente tiene dos <ng-content /> iguales, sin select. ¿Qué pasa?",Multiple Choice,"No compila","Compila y el contenido aparece dos veces","Compila y el contenido aparece una sola vez","Compila y no aparece nada",3,45,
"¿Para qué sirve el select de <ng-content select=\"[card-tag]\" />?",Multiple Choice,"Para elegir qué componente hijo se usa","Para separar un hueco de otro: solo recibe lo que lleva ese atributo","Para seleccionar texto con el mouse","Para filtrar una lista",2,30,
"¿Cuál de estos ganchos del ciclo de vida corre UNA sola vez, con los inputs ya llenos?",Multiple Choice,"ngOnChanges","ngOnInit","ngOnDestroy","El constructor",2,30,
"¿Por qué no se puede leer un input en el constructor del componente?",Multiple Choice,"Porque el constructor no existe en Angular","Porque cuando el constructor corre, Angular todavía no llenó los inputs","Porque los inputs son privados","Sí se puede, no hay problema",2,45,
"El hijo declara model(1) y sube la cantidad desde su propio botón. ¿Corre su ngOnChanges?",Multiple Choice,"No: el cambio vino de adentro","Sí: el valor sube al padre y vuelve a bajar por el mismo binding","Solo si el padre lo pide","Depende de OnPush",2,45,
"<app-race-card> usa un dato del dominio y <app-badge> no. ¿Dónde va cada uno?",Multiple Choice,"Los dos en shared/ui/","Los dos en features/races/","badge en shared/ui/ y race-card en features/races/","badge en features/races/ y race-card en shared/ui/",3,45,
"El hijo aparece como etiqueta desconocida y no se dibuja nada. ¿Qué falta?",Multiple Choice,"Declararlo en el array imports del componente padre","Registrarlo en app.config.ts","Ponerle standalone: false","Agregarlo a las rutas",1,30,
