Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Image Link
"El estado de una carrera solo puede ser upcoming, live o finished. ¿Cuál es el tipo correcto?",Multiple Choice,"type RaceStatus = string","type RaceStatus = 'upcoming' | 'live' | 'finished'","type RaceStatus = String","type RaceStatus = any",2,30,
"Con strict activado, ¿qué devuelve una función que busca el favorito de una carrera que podría no tener caballos?",Multiple Choice,"Horse","Horse | null","Horse | undefined","any",3,30,
"interface Order { readonly lines: OrderLine[] }. ¿Cuál de estas líneas COMPILA?",Multiple Choice,"order.lines = []","order.lines.push(x)","las dos","ninguna de las dos",2,45,
"¿Qué hace falta para que la lista tampoco se pueda modificar?",Multiple Choice,"Nada, readonly en el campo ya alcanza","Escribir readonly también en el tipo del array: readonly OrderLine[]","Usar Object.freeze","Cambiar el array por un objeto",2,30,
"La API devuelve páginas de carreras y páginas de apuestas, con la misma forma. ¿Cómo se escribe una sola vez?",Multiple Choice,"interface Page { items: unknown[] }","type Page = Race[] | Bet[]","interface Page<T> { items: readonly T[]; total: number }","dos interfaces separadas, RacePage y BetPage",3,45,
"¿Qué hace Omit<Bet, 'payout'>?",Multiple Choice,"Un tipo Bet donde payout es opcional","Un tipo Bet sin la propiedad payout","Un tipo con SOLO la propiedad payout","Un error: Omit no existe",2,30,
"const horse = race.horses[0], con noUncheckedIndexedAccess activado. ¿De qué tipo es horse?",Multiple Choice,"Horse","Horse | undefined","never","depende de si el array está vacío en tiempo de ejecución",2,45,
"En un switch sobre RaceStatus SIN default y con los tres casos cubiertos, ¿qué pasa si después se agrega un cuarto estado al tipo?",Multiple Choice,"Nada, el switch sigue compilando","El switch deja de compilar y el error señala la función","El programa explota en tiempo de ejecución","Se agrega el caso solo",2,45,
"const config = { size: 'grande' }. ¿De qué tipo es config.size?",Multiple Choice,"'grande'","string","CoffeeSize","never",2,45,
"const race = JSON.parse(texto) as Race. Si el texto no traía la lista de caballos, ¿qué pasa?",Multiple Choice,"No compila: as verifica la forma","Compila y race.horses queda como lista vacía","Compila sin una sola advertencia y explota al usar race.horses","JSON.parse tira un error al parsear",3,45,
"Cuando el programa corre en el navegador, ¿qué queda de los tipos que escribiste?",Multiple Choice,"Nada: se borran al compilar y lo que corre es JavaScript","Quedan y el navegador los verifica","Quedan solo los de las interfaces","Se convierten en validaciones automáticas",1,30,
