Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Image Link
"¿Cuál es la diferencia principal entre una promesa y un observable?",Multiple Choice,"Ninguna, son sinónimos","La promesa da un valor y empieza al crearla; el observable da varios y empieza al suscribirse","El observable es más rápido","La promesa no se puede tipar",2,45,
"Un observable frío, ¿cuándo hace algo?",Multiple Choice,"Al crearlo","Al suscribirse","Cuando lo lee el template","Nunca",2,30,
"Llamo cinco veces a un método que devuelve un observable y no me suscribo. ¿Cuántas peticiones salen?",Multiple Choice,"5","1","0","Depende del navegador",3,45,
"¿Qué hace debounceTime(300)?",Multiple Choice,"Espera 300 ms y emite todo lo acumulado","Deja pasar el último valor solo si pasaron 300 ms sin que llegue otro","Emite cada 300 ms","Cancela la petición a los 300 ms",2,45,
"¿Para qué sirve distinctUntilChanged()?",Multiple Choice,"Ordena los valores","Descarta un valor si es igual al anterior","Elimina duplicados de todo el historial","Convierte el flujo en único",2,30,
"switchMap contra mergeMap: ¿cuál es la diferencia?",Multiple Choice,"switchMap cancela lo anterior; mergeMap deja correr todo a la vez","mergeMap es más nuevo","switchMap solo sirve para HTTP","Ninguna",1,45,
"Con mergeMap: escribo 'e' (tarda 1200 ms) y después 'huila' (tarda 300 ms). ¿Qué se ve al final?",Multiple Choice,"Los resultados de huila","Los resultados de e","Los dos mezclados","Un error",2,60,
"En un buscador, ¿cuál corresponde?",Multiple Choice,"mergeMap, para no perder ninguna","switchMap, porque solo importa lo último que escribió la persona","concatMap, para mantener el orden","Cualquiera",2,45,
"El catchError está AFUERA del switchMap. Después de un error, ¿qué pasa con la siguiente búsqueda?",Multiple Choice,"Funciona normalmente","No pasa nada: el flujo murió y no vuelve a emitir","Vuelve a mostrar el error","Se reintenta sola",2,60,
"¿Por qué un error mata el flujo?",Multiple Choice,"Porque RxJS está mal diseñado","Porque en un observable el error es terminal: el flujo se acaba","Porque falta un try/catch","Porque el componente es OnPush",2,45,
"¿Qué hace takeUntilDestroyed()?",Multiple Choice,"Cancela la petición HTTP","Corta la suscripción cuando el componente se destruye","Destruye el componente al terminar el flujo","Limita el flujo a un valor",2,45,
"takeUntilDestroyed() sin argumentos, ¿dónde se puede llamar?",Multiple Choice,"En cualquier método","En un contexto de inyección: un campo de la clase o el constructor","Solo en ngOnDestroy","Solo en servicios",2,45,
"¿Qué hace toSignal()?",Multiple Choice,"Convierte un signal en observable","Convierte un observable en un signal, y se suscribe","Crea un signal vacío","Congela el valor de un signal",2,45,
"Desde esta sesión, toda pantalla que cargue algo tiene que manejar...",Multiple Choice,"Solo el estado de carga","Cargando, vacío y error","Cargando y error","Ninguno: Angular los maneja",2,30,
