Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Image Link
"¿Qué hace un pipe?",Multiple Choice,"Modifica el dato en el componente","Transforma lo que se ve, sin cambiar el dato","Guarda el valor en memoria","Crea un componente nuevo",2,30,
"Escribiste un pipe y en el template sale NG8004: No pipe found with name 'money'. ¿Qué falta?",Multiple Choice,"Declararlo en el array imports del componente","Registrarlo en app.config.ts","Ponerle pure: false","Exportarlo desde un index.ts",1,30,
"El pipe está en imports y el error NG8004 sigue. ¿Qué revisarías?",Multiple Choice,"Que el nombre de la clase coincida","Que el name del decorador coincida exacto con lo escrito en el template","Que el componente sea OnPush","Que el pipe sea impuro",2,45,
"{{ 4200 | money: 'USD' }}. ¿Qué es 'USD'?",Multiple Choice,"El nombre del pipe","El segundo argumento de transform()","Una variable del componente","El tipo de retorno",2,30,
"Un pipe con pure: true, ¿cuándo lo llama Angular?",Multiple Choice,"En cada detección de cambios","Solo cuando cambia el valor de entrada","Una sola vez","Cuando se lo pide el componente",2,45,
"Un pipe con pure: false en un componente OnPush, ¿cuándo corre?",Multiple Choice,"Nunca, porque la entrada no cambia","Con cada evento de cualquier parte de la aplicación","Cada vez que Angular revisa ESE componente","Solo al iniciar",3,60,
"¿Cuál es la diferencia entre un componente y una directiva?",Multiple Choice,"Ninguna, son sinónimos","El componente trae su propio template; la directiva no tiene y se cuelga de un elemento ajeno","La directiva es más rápida","El componente no se declara en imports",2,45,
"El selector de una directiva de atributo se escribe...",Multiple Choice,"appHighlight","[appHighlight]","app-highlight",".appHighlight",2,30,
"En el host de una directiva, ¿qué hace devolver null en un [attr.x]?",Multiple Choice,"Pone el atributo con el texto null","Pone el atributo vacío","Quita el atributo del elemento","Da error",3,45,
"¿Qué significa el asterisco de *appRepeat?",Multiple Choice,"Que la directiva es obligatoria","Es azúcar sintáctica: Angular lo reescribe como un ng-template","Que se ejecuta primero","Que la directiva es impura",2,45,
"¿Qué es un ng-template?",Multiple Choice,"Un componente sin estilos","Un pedazo de HTML que no se dibuja hasta que alguien decide pintarlo","Un pipe estructural","El template principal de la app",2,45,
"{{ 0.545 | percent }} sale 54.5% en una app en español. ¿Por qué?",Multiple Choice,"Es un error de Angular","Los pipes incorporados formatean según LOCALE_ID, que por defecto es en-US","percent no soporta español","Falta importar CommonModule",2,45,
"En Angular 18, ¿dónde hay que escribir standalone: true?",Multiple Choice,"Solo en componentes","En componentes y directivas","En componentes, directivas y pipes","En ninguno: es el valor por defecto",3,30,
