Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Image Link
"En Angular 18, ¿qué pasa si te olvidás de escribir standalone: true en un @Component?",Multiple Choice,"Nada, es el valor por defecto","Angular lo trata como componente de NgModule y falla al usarlo suelto","El build funciona pero la app queda en blanco","Es opcional, solo cambia el rendimiento",2,45,
"<p class=""etiqueta {{ tono }}"" [class.activa]=""true"">. Si tono vale 'rojo', ¿qué clases quedan en el elemento?",Multiple Choice,"solo etiqueta rojo","solo activa","etiqueta rojo activa","ninguna: las dos formas se anulan",3,45,
"[(ngModel)] no funciona y el build dice ""Can't bind to 'ngModel'"". ¿Qué falta?",Multiple Choice,"Importar FormsModule en los imports del componente","Poner name en el input","Agregar ngModel al app.config.ts","Sacar OnPush del componente",1,30,
"(click)=""contador + 1"" en un botón. Después de tres clics, ¿cuánto vale contador?",Multiple Choice,"3","1","0","da error de compilación",3,45,
"¿Cuál es la diferencia entre class=""activa"" y [class.activa]=""esActiva""?",Multiple Choice,"Ninguna","La primera pone la clase siempre; la segunda solo si la expresión es verdadera","La segunda es más rápida","La primera no funciona en componentes standalone",2,30,
"¿En qué dirección va la información con (click)=""hacer()""?",Multiple Choice,"De la clase al template","Del template a la clase","En los dos sentidos","Del servidor al template",2,30,
"En un componente standalone, ¿dónde se declara lo que usa el template?",Multiple Choice,"En el array imports del @Component","En el app.module.ts","En el app.config.ts","No hace falta declarar nada",1,30,
"¿Por qué conviene preparar los datos en la clase y no calcularlos en el template?",Multiple Choice,"Porque el template no puede llamar métodos","Porque lo que está en el template se recalcula en cada detección de cambios","Porque TypeScript no compila expresiones en HTML","Por ninguna razón, es lo mismo",2,45,
"[(ngModel)] es azúcar sintáctica de dos cosas. ¿Cuáles?",Multiple Choice,"[value] y (input)","[ngModel] y (ngModelChange)","[model] y (modelChange)","[(value)] y (change)",2,45,
"¿Qué hace ChangeDetectionStrategy.OnPush?",Multiple Choice,"Desactiva la detección de cambios","Le dice a Angular que revise ese componente solo cuando cambian sus entradas o pasa un evento adentro","Hace que el componente se repinte más seguido","Es obligatorio en Angular 18",2,45,
