Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Time in seconds,Image Link
"¿Qué es un servicio en Angular?",Multiple Choice,"Un componente sin estilos","Una clase sin template, con lógica o estado, que otros piden","Una función que transforma valores","Un archivo de configuración",2,30,
"Dos componentes hermanos tienen que compartir estado. ¿Cuál es la forma de hoy?",Multiple Choice,"Subir el estado al padre y pasarlo por input()","Una variable global","Un servicio que los dos inyectan","Un output() de uno al otro",3,45,
"providedIn: 'root', ¿cuántas instancias crea?",Multiple Choice,"Una por componente que lo use","Una para toda la aplicación","Una por ruta","Ninguna hasta que se use con new",2,30,
"Un servicio declarado en providers de un componente, ¿cuántas instancias tiene?",Multiple Choice,"Una para toda la aplicación","Una por cada copia de ese componente en pantalla","Dos","Depende de OnPush",2,45,
"El servicio dice providedIn: 'root' Y además está en providers del componente. ¿Qué pasa?",Multiple Choice,"Da error: está declarado dos veces","Gana el de root","Hay dos instancias y no hay ningún error","No compila",3,60,
"¿Por qué gana el provider del componente?",Multiple Choice,"Porque se declara después","Porque Angular busca primero en el inyector más cercano y sube si no lo encuentra","Porque root es solo una sugerencia de estilo","Por orden alfabético",2,45,
"¿Dónde se puede llamar a inject()?",Multiple Choice,"En cualquier lado","En un campo de la clase, el constructor, una factory o runInInjectionContext","Solo en el constructor","Solo dentro de métodos",2,45,
"inject() adentro de un método, ¿qué pasa?",Multiple Choice,"No compila","Compila y falla al ejecutarse: NG0203","Anda igual","Devuelve null",2,45,
"¿Para qué sirve un InjectionToken?",Multiple Choice,"Para autenticar peticiones","Para pedir algo que no es una clase, como una URL o un texto","Para crear componentes dinámicos","Para declarar rutas",2,45,
"¿Por qué API_URL es un token y no una constante exportada?",Multiple Choice,"Porque las constantes no se pueden importar","Porque un token se reemplaza en un solo lugar sin tocar a quien lo usa","Porque es más rápido","Porque TypeScript lo exige",2,45,
"En un store, ¿para qué sirve asReadonly()?",Multiple Choice,"Para que el signal sea más rápido","Para exponer el estado sin set ni update, y que solo el servicio lo cambie","Para congelar los objetos de adentro","Para que el template pueda leerlo",2,45,
"¿Un servicio puede inyectar a otro servicio?",Multiple Choice,"No: inject() solo funciona en componentes","Sí, pero solo por el constructor","Sí, con inject() en un campo de la clase, igual que en un componente","Solo si los dos son providedIn root",3,45,
"Después de mover el estado a un store, ¿qué se puede hacer que antes no?",Multiple Choice,"Testearlo sin crear ningún componente","Usar signals","Usar OnPush","Escribir menos código",1,45,
